City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
267,hofn,20,IS,1524135600,76,64.25,-15.21,48.2,8.05
268,lorengau,48,PG,1524139660,100,-2.02,147.27,83.26,4.63
269,champerico,5,MX,1524134940,78,16.38,-93.6,71.6,2.24
270,saquena,92,PE,1524139661,97,-4.67,-73.52,74.44,3.62
271,lebu,76,ET,1524139661,43,8.96,38.73,72.1,7.76
272,laguna,48,MX,1524139661,58,27.52,-110.01,60.94,2.06
273,tiarei,75,PF,1524137400,88,-17.53,-149.33,77.0,3.36
274,dinar,75,TR,1524136800,31,38.07,30.16,75.2,2.24
275,san juan,40,PR,1524135360,78,18.47,-66.12,77.0,16.26
276,mao,40,DO,1524135600,94,19.55,-71.08,73.4,10.11
277,codrington,80,AU,1524139664,97,-28.95,153.24,63.73,2.17
278,souillac,0,FR,1524139200,30,45.6,-0.6,80.6,11.41
279,kaduy,0,RU,1524139665,52,59.2,37.15,58.87,15.14
280,langxiang,8,CN,1524139665,70,46.95,128.87,49.06,3.4
281,abu samrah,0,SY,1524139665,30,35.3,37.18,85.87,10.0
282,sao miguel do araguaia,32,BR,1524139665,85,-13.28,-50.16,77.32,6.98
283,kavaratti,24,IN,1524139406,100,10.57,72.64,84.07,14.14
284,kirakira,76,SB,1524139669,100,-10.46,161.92,80.83,14.14
285,porto belo,75,BR,1524138300,100,-27.15,-48.54,71.6,11.41
286,palmer,0,AU,1524137400,49,-34.85,139.16,69.8,9.17
287,lask,0,PL,1524139200,45,51.59,19.13,68.0,12.75
288,magnitka,8,RU,1524139670,51,55.34,59.7,52.39,2.73
289,evensk,36,RU,1524139671,89,61.92,159.24,26.56,8.66
290,gorin,90,US,1524137700,86,40.36,-92.02,33.8,8.05
291,tabanan,88,ID,1524139672,91,-8.54,115.13,76.69,1.61
292,djambala,92,CG,1524139672,100,-2.55,14.76,72.37,4.63
293,sabang,80,PH,1524139672,93,13.72,123.58,79.84,8.21
294,ahipara,80,NZ,1524139673,97,-35.17,173.16,57.16,3.96
295,comodoro rivadavia,0,AR,1524135600,42,-45.87,-67.48,68.0,21.92
296,hamilton,75,BM,1524137160,72,32.3,-64.78,68.0,12.75
297,fort nelson,75,CA,1524135600,48,58.81,-122.69,41.0,3.36
298,griffith,0,AU,1524139674,55,-34.29,146.06,62.83,7.99
299,mahebourg,40,MU,1524135600,74,-20.41,57.7,86.0,16.11
300,lishui,0,CN,1524139674,79,28.45,119.91,56.89,2.06
301,morton,75,US,1524139080,100,46.56,-122.28,37.4,1.95
302,port hedland,0,AU,1524137400,78,-20.31,118.58,78.8,6.93
303,saint-pierre,0,FR,1524139200,53,48.95,4.24,78.8,8.05
304,along,80,IN,1524139676,97,28.17,94.8,59.59,1.16
305,ambala,100,IN,1524139676,28,30.38,76.77,86.77,11.56
306,naron,40,ES,1524139200,77,43.52,-8.15,60.8,9.17
307,rawson,0,AR,1524139677,62,-43.3,-65.11,54.1,9.78
308,patacamaya,76,BO,1524139677,100,-17.23,-67.92,32.14,4.07
309,nabire,88,ID,1524139677,98,-3.36,135.5,69.13,1.95
310,grand gaube,40,MU,1524135600,74,-20.01,57.66,86.0,16.11
311,ranong,75,TH,1524139200,94,9.96,98.62,78.8,5.97
312,davidson,1,US,1524138840,59,35.5,-80.85,66.2,13.87
313,roald,0,NO,1524138600,59,62.58,6.12,62.6,14.99
314,megion,20,RU,1524137400,64,61.04,76.11,37.4,17.9
315,matara,90,PE,1524135600,75,-13.74,-72.9,42.8,2.06
316,praia da vitoria,20,PT,1524135600,72,38.73,-27.07,60.8,12.01
317,talnakh,56,RU,1524139680,81,69.49,88.39,14.68,17.16
318,kawalu,48,ID,1524139680,99,-7.38,108.21,69.13,1.39
319,rolandia,0,BR,1524135600,72,-23.31,-51.37,71.6,10.22
320,dicabisagan,68,PH,1524139681,100,17.08,122.42,76.33,8.99
321,puerto escondido,5,MX,1524134460,61,15.86,-97.07,77.0,6.93
322,vestmannaeyjar,75,IS,1524135600,100,63.44,-20.27,46.4,19.46
323,joshimath,80,IN,1524139682,98,30.57,79.57,26.56,1.05
324,tymovskoye,56,RU,1524139578,84,50.85,142.66,30.79,2.39
325,yumen,0,CN,1524139683,22,40.29,97.04,64.9,7.54
326,siruguppa,0,IN,1524139683,29,15.63,76.89,99.73,3.96
327,fernie,20,CA,1524135600,69,49.5,-115.06,33.8,6.93
328,sirajganj,0,BD,1524139684,81,24.46,89.71,85.24,3.51
329,nanortalik,32,GL,1524139684,96,60.14,-45.24,33.13,3.62
330,vanimo,44,PG,1524139684,100,-2.67,141.3,82.63,8.21
331,pasighat,56,IN,1524139685,78,28.06,95.33,67.33,0.16
332,acajutla,8,SV,1524139685,88,13.59,-89.83,70.93,2.39
333,kolda,0,SN,1524139685,33,12.89,-14.94,90.37,4.63
334,upernavik,8,GL,1524139686,100,72.79,-56.15,5.14,19.17
335,trairi,56,BR,1524139672,99,-3.28,-39.27,83.53,19.06
336,yatou,75,CM,1524135600,70,3.63,9.81,89.6,5.82
337,nichinan,0,JP,1524135600,63,31.65,131.31,64.4,8.05
338,qaqortoq,40,GL,1524138600,69,60.72,-46.03,39.2,2.24
339,blagoyevo,32,RU,1524139687,56,63.37,47.92,36.91,8.77
340,kidal,0,ML,1524139688,13,18.44,1.41,97.21,10.0
341,san policarpo,88,PH,1524139688,96,12.18,125.51,81.19,7.43
342,namibe,8,AO,1524139688,98,-15.19,12.15,79.48,7.65
343,san cristobal,75,EC,1524135600,93,-0.39,-78.55,50.0,4.7
344,martapura,48,ID,1524139689,87,-3.41,114.85,82.09,6.08
345,longyearbyen,20,NO,1524138600,66,78.22,15.63,15.8,4.7
346,gigmoto,68,PH,1524139690,100,13.78,124.39,80.11,9.78
347,severo-kurilsk,56,RU,1524139690,100,50.68,156.12,30.07,9.55
348,wewak,48,PG,1524139690,98,-3.55,143.63,76.87,2.62
349,coos bay,90,US,1524138960,87,43.37,-124.22,42.8,8.05
350,anastacio,32,BR,1524139691,76,-20.48,-55.81,79.21,7.09
351,rodrigues alves,75,BR,1524136500,94,-7.74,-72.65,73.4,3.4
352,camacari,92,BR,1524139692,100,-12.7,-38.32,74.62,8.21
353,masterton,12,NZ,1524139657,74,-40.95,175.66,55.27,18.28
354,kalmar,0,SE,1524138600,59,56.66,16.36,62.6,10.29
355,bogorodskoye,80,RU,1524139693,76,52.37,140.44,33.76,3.18
356,fairlie,1,US,1524138960,57,33.31,-95.96,50.0,8.05
357,marawi,64,PH,1524139693,100,8.0,124.29,68.95,1.39
358,chifeng,44,CN,1524139694,43,42.27,118.96,62.02,9.55
359,aklavik,40,CA,1524135600,68,68.22,-135.01,-16.61,3.96
360,vieux-habitants,20,GP,1524137400,74,16.06,-61.77,78.8,9.17
361,sharjah,0,AE,1524135600,51,25.36,55.39,86.0,17.22
362,tadine,80,NC,1524139695,96,-21.55,167.88,77.59,17.83
363,roma,20,IT,1524136800,46,41.89,12.48,77.0,4.7
364,malanville,0,NE,1524139696,27,11.86,3.39,103.87,8.77
365,terrace bay,0,CA,1524139637,100,48.78,-87.1,29.71,15.03
366,kenai,90,US,1524135360,80,60.55,-151.26,35.6,8.05
367,auki,8,NG,1524139697,27,12.18,6.51,101.98,5.08
368,bemidji,1,US,1524137700,79,47.48,-94.89,26.6,1.72
369,santander,12,PH,1524139698,88,9.42,123.33,83.89,9.1
370,egvekinot,0,RU,1524139698,79,66.32,-179.17,7.84,2.51
371,ancud,92,CL,1524139698,97,-41.87,-73.83,57.61,11.45
372,suntar,64,RU,1524139698,48,62.16,117.65,30.16,8.77
373,hof,0,DE,1524138960,24,50.32,11.92,73.4,4.7
374,geraldton,5,CA,1524135600,92,49.72,-86.95,15.8,3.36
375,rio grande,0,BR,1524135600,93,-32.03,-52.1,66.2,9.78
376,san quintin,75,PH,1524135600,74,17.54,120.52,86.0,2.24
377,millet,20,CA,1524135600,86,53.09,-113.47,30.2,6.93
378,japura,44,ID,1524139701,94,-0.42,102.29,78.58,1.39
379,khorinsk,0,RU,1524139701,54,52.16,109.78,30.52,3.06
380,baykit,48,RU,1524139702,61,61.68,96.39,17.29,5.53
381,noumea,0,NC,1524137400,77,-22.28,166.46,69.8,3.36
382,annau,75,TM,1524135600,22,37.89,58.52,69.8,6.93
383,mtwara,56,TZ,1524139703,100,-10.28,40.18,80.47,5.75
384,nhulunbuy,40,AU,1524135600,88,-12.18,136.78,80.6,5.82
385,bilma,0,NE,1524139703,12,18.69,12.92,104.41,13.58
